TAX,ASSESSED
VILLAGE,38425
SCHOOL,38425
COUNTY,27250
VILLAGE,27250
SCHOOL,27250
COUNTY,21300
VILLAGE,21300
SCHOOL,19470
COUNTY,26800
VILLAGE,26800
SCHOOL,26800
COUNTY,30500
VILLAGE,30500
SCHOOL,30500
COUNTY,41550
VILLAGE,41550
SCHOOL,41550
COUNTY,39150
VILLAGE,39150
SCHOOL,37320
COUNTY,36600
VILLAGE,36600
SCHOOL,36600
COUNTY,28100
VILLAGE,28100
SCHOOL,28100
COUNTY,36600
VILLAGE,36600
SCHOOL,36600
COUNTY,25150
VILLAGE,25150
SCHOOL,25150
COUNTY,30800
VILLAGE,30800
SCHOOL,30800
COUNTY,17550
VILLAGE,17550
SCHOOL,20520
COUNTY,50600
VILLAGE,50600
SCHOOL,50600
COUNTY,75000
VILLAGE,75000
SCHOOL,75000
COUNTY,44275
VILLAGE,44275
SCHOOL,44275
COUNTY,25600
VILLAGE,25600
SCHOOL,25600
COUNTY,32625
VILLAGE,32625
SCHOOL,32625
COUNTY,35250
VILLAGE,35250
SCHOOL,33420
COUNTY,34550
VILLAGE,34550
SCHOOL,32720
COUNTY,24000
VILLAGE,24000
SCHOOL,24000
COUNTY,29625
VILLAGE,29625
SCHOOL,29625
COUNTY,29250
VILLAGE,29250
SCHOOL,27420
COUNTY,22300
VILLAGE,22300
SCHOOL,22300
COUNTY,17600
VILLAGE,17600
SCHOOL,15770
COUNTY,31075
VILLAGE,31075
SCHOOL,31075
COUNTY,5700
VILLAGE,5700
SCHOOL,5700
COUNTY,29200
VILLAGE,29200
SCHOOL,27370
COUNTY,46000
VILLAGE,46000
SCHOOL,44170
COUNTY,25100
VILLAGE,25100
SCHOOL,23270
COUNTY,24650
VILLAGE,24650
SCHOOL,24650
COUNTY,19800
VILLAGE,19800
SCHOOL,19800
COUNTY,32625
VILLAGE,32625
SCHOOL,32625
COUNTY,39500
VILLAGE,39500
SCHOOL,39500
COUNTY,33750
VILLAGE,33750
SCHOOL,33750
COUNTY,38817
VILLAGE,38817
SCHOOL,40500
COUNTY,32575
VILLAGE,32575
SCHOOL,30745
COUNTY,21017
VILLAGE,21017
SCHOOL,20870
COUNTY,38300
VILLAGE,38300
SCHOOL,36470
COUNTY,30975
VILLAGE,30975
SCHOOL,30975
COUNTY,27970
VILLAGE,27970
SCHOOL,27970
COUNTY,39700
VILLAGE,39700
SCHOOL,39700
COUNTY,31400
VILLAGE,31400
SCHOOL,31400
COUNTY,23590
VILLAGE,23590
SCHOOL,22770
COUNTY,24100
VILLAGE,24100
SCHOOL,24100
COUNTY,29800
VILLAGE,29800
SCHOOL,29800
COUNTY,34325
VILLAGE,34325
SCHOOL,32495
COUNTY,19200
VILLAGE,19200
SCHOOL,17370
COUNTY,24200
VILLAGE,24200
SCHOOL,24200
COUNTY,19915
VILLAGE,19915
SCHOOL,18085
COUNTY,21525
VILLAGE,21525
SCHOOL,19695
COUNTY,64675
VILLAGE,64675
SCHOOL,64675
COUNTY,27100
VILLAGE,27100
SCHOOL,27100
COUNTY,26400
VILLAGE,26400
SCHOOL,26400
COUNTY,31500
VILLAGE,31500
SCHOOL,31500
COUNTY,70500
VILLAGE,70500
SCHOOL,70500
COUNTY,47525
VILLAGE,47525
SCHOOL,47525
COUNTY,37600
VILLAGE,37600
SCHOOL,37600
COUNTY,55500
VILLAGE,55500
SCHOOL,53670
COUNTY,8500
VILLAGE,8500
SCHOOL,8500
COUNTY,30900
VILLAGE,30900
SCHOOL,30900
COUNTY,17875
VILLAGE,17875
SCHOOL,19085
COUNTY,28750
VILLAGE,28750
SCHOOL,24960
COUNTY,72225
VILLAGE,72225
SCHOOL,72225
COUNTY,33000
VILLAGE,33000
SCHOOL,33000
